2026-03-19 08:38:29 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:30 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:31 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:32 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:34 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:35 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:38 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:39 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:40 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:42 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:43 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:44 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:46 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:47 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:50 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:51 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:52 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:53 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:54 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:55 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:56 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:57 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:38:58 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:00 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:01 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:02 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:03 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:05 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:06 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:08 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:09 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:10 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:11 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:12 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:13 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:15 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:17 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:18 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:19 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:20 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:21 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:23 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:24 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:25 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:26 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:27 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:29 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:30 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:31 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:33 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:35 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:36 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:37 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:39 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:40 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:41 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:42 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:43 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:45 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:46 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:48 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:49 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:52 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:53 | INFO | Application Layer  | rx: Satellite Data 1
2026-03-19 08:39:54 | INFO | Application Layer  | rx: Satellite Data 1
