2026-03-19 08:32:14 | INFO | Idle | starting activity timer for 180
2026-03-19 08:32:40 | INFO | Idle | Entered Idle mode
2026-03-19 08:32:40 | INFO | Idle | starting activity timer for 180
2026-03-19 08:32:40 | INFO | Idle | Entered Idle mode
2026-03-19 08:32:40 | INFO | Idle | starting activity timer for 180
2026-03-19 08:32:52 | INFO | Idle | Entered Idle mode
2026-03-19 08:32:52 | INFO | Idle | starting activity timer for 180
2026-03-19 08:34:16 | INFO | Idle | Entered Idle mode
2026-03-19 08:34:16 | INFO | Idle | starting activity timer for 180
2026-03-19 08:34:16 | INFO | Idle | Entered Idle mode
2026-03-19 08:34:16 | INFO | Idle | starting activity timer for 180
2026-03-19 08:34:23 | INFO | Idle | Entered Idle mode
2026-03-19 08:34:23 | INFO | Idle | starting activity timer for 180
2026-03-19 08:37:16 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 08:37:16 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 08:37:23 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 09:20:00 | INFO | Idle | Entered Idle mode
2026-03-19 09:20:00 | INFO | Idle | Entered Idle mode
2026-03-19 09:20:00 | INFO | Idle | starting activity timer for 180
2026-03-19 09:20:00 | INFO | Idle | starting activity timer for 180
2026-03-19 09:20:07 | INFO | Idle | Entered Idle mode
2026-03-19 09:20:07 | INFO | Idle | starting activity timer for 180
2026-03-19 09:20:07 | INFO | Idle | Entered Idle mode
2026-03-19 09:20:07 | INFO | Idle | starting activity timer for 180
2026-03-19 09:21:38 | INFO | Idle | Entered Idle mode
2026-03-19 09:21:38 | INFO | Idle | starting activity timer for 180
2026-03-19 09:21:38 | INFO | Idle | Entered Idle mode
2026-03-19 09:21:38 | INFO | Idle | starting activity timer for 180
2026-03-19 09:22:14 | INFO | Idle | Entered Idle mode
2026-03-19 09:22:14 | INFO | Idle | Entered Idle mode
2026-03-19 09:22:14 | INFO | Idle | starting activity timer for 180
2026-03-19 09:22:14 | INFO | Idle | starting activity timer for 180
2026-03-19 09:24:04 | INFO | Idle | Entered Idle mode
2026-03-19 09:24:04 | INFO | Idle | starting activity timer for 180
2026-03-19 09:24:04 | INFO | Idle | Entered Idle mode
2026-03-19 09:24:04 | INFO | Idle | starting activity timer for 180
2026-03-19 09:26:31 | INFO | Idle | Entered Idle mode
2026-03-19 09:26:31 | INFO | Idle | starting activity timer for 180
2026-03-19 09:26:31 | INFO | Idle | Entered Idle mode
2026-03-19 09:26:31 | INFO | Idle | starting activity timer for 180
2026-03-19 09:26:33 | ERROR | Idle | Failed to frame SYN: 'GroundStationIdle' object has no attribute 'frame_syn'
2026-03-19 09:26:46 | INFO | Idle | Entered Idle mode
2026-03-19 09:26:46 | INFO | Idle | Entered Idle mode
2026-03-19 09:26:46 | INFO | Idle | starting activity timer for 180
2026-03-19 09:26:46 | INFO | Idle | starting activity timer for 180
2026-03-19 09:29:48 | INFO | Idle | Entered Idle mode
2026-03-19 09:29:48 | INFO | Idle | Entered Idle mode
2026-03-19 09:29:48 | INFO | Idle | starting activity timer for 180
2026-03-19 09:29:48 | INFO | Idle | starting activity timer for 180
2026-03-19 09:32:48 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 09:32:48 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 09:34:31 | INFO | Idle | Entered Idle mode
2026-03-19 09:34:31 | INFO | Idle | starting activity timer for 180
2026-03-19 09:34:31 | INFO | Idle | Entered Idle mode
2026-03-19 09:34:31 | INFO | Idle | starting activity timer for 180
2026-03-19 09:37:31 | INFO | Idle | No activity detected, switching to Connectionless Downlink Mode
2026-03-19 09:37:58 | INFO | Idle | Entered Idle mode
2026-03-19 09:37:58 | INFO | Idle | starting activity timer for 180
2026-03-19 09:37:58 | INFO | Idle | Entered Idle mode
2026-03-19 09:37:58 | INFO | Idle | starting activity timer for 180
2026-03-19 09:38:18 | INFO | Idle | Entered Idle mode
2026-03-19 09:38:18 | INFO | Idle | Entered Idle mode
2026-03-19 09:38:18 | INFO | Idle | starting activity timer for 180
2026-03-19 09:38:18 | INFO | Idle | starting activity timer for 180
2026-03-19 09:38:21 | ERROR | Idle | Failed to frame SYN: 'GroundStationIdle' object has no attribute 'frame_syn'
2026-03-19 09:39:02 | INFO | Idle | Entered Idle mode
2026-03-19 09:39:02 | INFO | Idle | starting activity timer for 180
2026-03-19 09:39:02 | INFO | Idle | Entered Idle mode
