2026-02-23 06:37:31 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 06:37:31 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0003"'
2026-02-23 06:37:31 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0004"'
2026-02-23 06:37:31 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0005"'
2026-02-23 06:38:17 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 06:38:18 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 06:38:19 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 06:38:20 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0003"'
2026-02-23 06:38:21 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0004"'
2026-02-23 06:38:22 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0005"'
2026-02-23 06:40:30 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 06:40:31 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 06:40:32 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 06:40:33 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0003"'
2026-02-23 06:40:34 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0004"'
2026-02-23 06:40:35 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0005"'
2026-02-23 06:42:40 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 06:42:41 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 06:42:42 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 06:42:43 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0003"'
2026-02-23 06:42:44 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0004"'
2026-02-23 06:42:45 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0005"'
2026-02-23 06:44:16 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 06:44:17 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 06:44:19 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 06:44:20 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0003"'
2026-02-23 06:44:21 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0004"'
2026-02-23 06:44:22 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0005"'
2026-02-23 06:45:27 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 06:45:28 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 06:45:29 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 06:45:30 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0003"'
2026-02-23 06:45:31 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0004"'
2026-02-23 06:45:32 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0005"'
2026-02-23 06:46:01 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 06:46:02 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 06:46:03 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 06:46:04 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0003"'
2026-02-23 06:46:05 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0004"'
2026-02-23 06:46:06 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0005"'
2026-02-23 06:46:12 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0000"'
2026-02-23 06:46:13 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0001"'
2026-02-23 06:46:14 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0002"'
2026-02-23 06:46:15 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0003"'
2026-02-23 06:46:16 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0004"'
2026-02-23 06:46:17 | INFO | ConnectionlessDownlink     | b'\x10\x18\x1a#\n!sonar data: "0000 0000 0000 0005"'
